rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
11,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,"L38: The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",L37: 3.1.1. The Gene Expression Profiles of Chemokines and Their Receptors in LPS Stimulated Lung Epithelial Cells Using Mouse Chemokines and Receptors RT2 Profiler PCR Arrays,Cxcl3;CXCL3,LPS,
12,PMC12139310,Macrophages generated in 3D mechanical microenvironment contribute to recruiting Peritonitis-associated neutrophils in vivo,success,no,no,,,,,
13,PMC5207674,CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,success,no,no,,,,,
14,PMC12255738,CX3CL1 promotes M1 macrophage polarization and osteoclast differentiation via NSUN5-mediated m5C modification,success,no,no,,,,,
15,PMC12847948,CX3CL1 deficiency ameliorates acute kidney injury by inhibiting macrophage mitochondrial dysfunction and mtDNA-cGAS-STING signaling,success,no,no,,,,,
16,PMC11195639,Induction of CX3CL1 expression by LPS and its impact on invasion and migration in oral squamous cell carcinoma,success,no,yes,"PCR analysis showed that compared with the control group treated with the same volume of sterile PBS, the mRNA expression of CX3CL1 was significantly increased in both CAL27 and UM1 cells stimulated with 1 Γ bcΓ bcg/mL and 10 Γ bcΓ bcg/mL LPS (Figures 3A,C), while CX3CR1 expression remained largely unchanged (Figures 3B,D).",The present study investigated the effect of LPS on the mRNA and protein expression of CX3CL1 and CX3CR1 genes in OSCC cell lines CAL27 and UM1.,,LPS,yes->no: evidence does not name the gene
17,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
18,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
19,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
20,PMC4771101,Baicalin exerts protective effects against lipopolysaccharide-induced acute lung injury by regulating the crosstalk between the CX3CL1-CX3CR1 axis and NF-κB pathway in CX3CL1-knockout mice,success,no,no,,,,,
21,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
22,PMC7476967,CXCL13 Is Involved in the Lipopolysaccharide-Induced Hyperpermeability of Umbilical Vein Endothelial Cells,success,no,yes,"We also show that LPS exposure increases the release of CXCL13, as well as the mRNA and protein expression of CXCL13 and its receptor, CXC chemokine receptor 5 (CXCR5) in human umbilical vein endothelial cells (HUVECs) in a dose- and time-dependent manner.","HUVECs were exposed to a series of LPS solutions (0, 50, 100, and 200 ng/ml; Solarbio, Beijing, China) for 24 h or treated with 100 ng/ml LPS for 0, 12, 24, and 48 h.",,LPS,yes->no: evidence does not name the gene
23,PMC6154519,TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,success,no,no,,,,,
24,PMC7576310,LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,success,no,no,,,,,
25,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,no,,,,,
