rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
14,PMC5751240,"Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b",success,yes,"LPS-induced expression of NOS2 protein and mRNA were also repressed in RAW 264.7 cells with pheophytin-b in a dose-dependent manner (p < 0.05; Figure 3A and Figure 4A, respectively).",Nos2,LPS,
15,PMC5955621,Mannan-induced Nos2 in macrophages enhances IL-17–driven psoriatic arthritis by innate lymphocytes,success,yes,We found an up-regulation of NOS2 MFIs in the LPS- and IFN-̳–stimulated CD14+ monocyte subpopulation in patients with PsA compared with HDs (Fig. 3).,Nos2,LPS,
16,PMC2811838,The inhibitory effect of quercitrin gallate on iNOS expression induced by lipopolysaccharide in Balb/c mice,success,yes,"In addition, iNOS protein expression in LPS treated mice increased to 80% of that of the expression of ̢-actin in the controls.",iNOS,LPS,
17,PMC2191051,Promoter of the mouse gene encoding calcium-independent nitric oxide synthase confers inducibility by interferon gamma and bacterial lipopolysaccharide,success,yes,Treatment with IFN-y and LPS led to transcription of iNOS from the same initiation site in both cell populations.,iNOS,LPS,
18,PMC4191211,Nitric Oxide Synthase: Non-Canonical Expression Patterns,success,no,,,,
19,PMC13029237,Formulation of Gamma-Oryzanol Encapsulated Nanoparticles and Their Modulation Effects on Inducible Nitric Oxide Synthase and Nitric Oxide in LPS-Stimulated RAW 264.7 Macrophages,success,yes,"Figure 6A,B, demonstrating that induction of LPS (1 g mL−1) significantly elevated iNOS protein expression levels compared to the non-LPS-stimulated group.",iNOS,LPS,
20,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,no,"To characterize the properties of primary LPS-induced downregulation of subsequent LPS-stimulated macrophage responses, it is important to define both the minimum and the optimal concentrations of LPS required for TNF-cx and NO production.",,LPS,yes->no: evidence does not name the gene
21,PMC4088763,Nitric oxide synthase 2-derived NO in endotoxemia is not sufficient to cause hemodynamic effects,success,yes,"We observed in TLR4-/- mice resistant to the inflammatory and lethal effects of endotoxin that various LPS preparations obtained from Sigma – but not Invivogen – were able to induce as much NOS2 and NOx as control mice but without resulting in hemodynamic effects, measured as changes in blood pressure.",Nos2,endotoxin;LPS,
22,PMC5967330,Macrophage inducible nitric oxide synthase circulates inflammation and promotes lung carcinogenesis,success,no,,,,
23,PMC6920088,Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level,success,no,"L19: In contrast, in BMDM, LPS alone (18hr) elicited intermediate NO flux which was markedly augmented when combined with IFNγ.",,LPS,yes->no: evidence does not name the gene
24,PMC12572803,Nitroalkene inhibition of pro-inflammatory macrophage effector function via modulation of signaling metabolite levels,success,yes,"First, it was confirmed that LPS induced NOS2 expression at 12 h.",Nos2,LPS,
25,PMC4577833,NOS1-derived nitric oxide promotes NF-κB transcriptional activity through inhibition of suppressor of cytokine signaling-1,success,no,,,,
