rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
11,PMC8716064,Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction,success,yes,"In order to assess the validity of LysMCre driven TNF-α deletion, we challenged a subset TNF-αF/F,LyzMCre, and TNF-αF/F mice with LPS. Similar to the results of others, mice with LyzMCre deletion of TNF-α displayed a significantly reduced TNF-α response to the LPS challenge (P < .05) (Figure S1).",Tnf,
12,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,"Primary macrophages accumulate large amounts of TNF_a mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNF_a gene (2, 3, 10, 20).",Tnf,
13,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,"Pretreatment of cells with IL-10, prior to treatment with LPS, diminished the average intracellular TNF protein expression measured at 3 h post-stimulation (hps), although TNF distributions across IL-10 doses were broad and overlapping (Fig. 1b, Supplementary Fig. 1a).",Tnf,
14,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.",Tnf,
15,PMC11373197,Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies,success,no,,,
16,PMC1079929,Unaltered TNF-α production by macrophages and monocytes in diet-induced obesity in the rat,success,yes,Ex vivo LPS-stimulation of full blood preparations resulted in a dose-dependent increase in the production of TNF-Α (Fig. 3).,Tnf,
17,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,"In a similar way NFkappaB is responsible for a 30% and 70% reduction in TNFalpha gene transcription at 5 and 6 hours, respectively, following treatment with LPS (Figure 1B).",TNFalpha,
18,PMC3153254,Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α,success,yes,"TNF-α was detected in the incubated cell medium of rat Kupffer cells, peritoneal rat macrophages, and the mouse monocyte macrophage cell line J774A.1: TNF-α concentrations were 1,000 pg/mL, 1,560 pg/mL, and 650 pg/mL, respectively, for 2.5 µmol/L OTA exposure and 3,000 pg/mL, 2,600 pg/mL, and 2,115 pg/mL, respectively, for LPS exposure.",Tnf,
19,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,yes,"In the present study, it is demonstrated that cytoplasmatic RNA extracted from rat macrophages stimulated with Escherichia coli lipopolysaccharide (LPS), referred to as L-RNA, induced the release of TNF-\u03b1 and IL-1 from monolayers of peritoneal resident macrophages.",Tnf,
20,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,"While LPS increased TNF-alpha production in control cells, secretion of TNF-alpha in response to LPS was increased by 1.7–2.2-fold in cells cultured with ethanol compared to controls [30].",Tnf;TNF-alpha,
21,PMC3892557,CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production,success,yes,RAW264 cells were stimulated with 1–1000 ng/mL of sLPS or rLPS of E. coli in the presence of 4C1 antibody which excluded LPS binding to CD14 [29]. We found that this blocking of function of CD14 nearly abolished TNF-α and RANTES production induced by 1 ng/mL of sLPS.,Tnf,
22,PMC1440772,Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase,success,yes,"L32: ""Mice challenged with LPS alone showed a small amount of serum TNF-\u03alpha (< 250 pg/mL) and a slight increase in AST (300 U/L) and ALT (30 U/L).""",Tnf,
23,PMC2211976,Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases,success,yes,"Although p55 ΔNS/ΔNS macrophages showed similar kinetics of TNF mRNA production as wild-type cells, they displayed substantially increased levels of TNF mRNA at all time points measured.",Tnf,
24,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1).",Tnf,
25,PMC7725547,Apigenin-7-Glucuronide from Urera aurantiaca Inhibits Tumor Necrosis Factor Alpha and Total Nitrite Release in Lipopolysaccharide-Activated Macrophages,success,no,"As expected, the treatment of RAW264.7 cells with LPS increased NO levels (Figure 2).",,yes->no: evidence does not name the gene
