rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
12,PMC8716064,Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction,success,yes,yes,"Similar to the results of others,[13] mice with LyzMCre deletion of TNF-α displayed a significantly reduced TNF-α response to the LPS challenge (P < .05) (Figure S1).","A subset of TNF-αFlox/Flox, LyzMcre−/− (TNF-αF/F) and TNF-αFlox/Flox, LyzMcre± (TNF-αF/F,LyzMCre) mice were administered 100ng of lipopolysaccharide (LPS) (Sigma Aldrich, St. Louis, MO) intraperitoneally and were subsequently sacrificed 1hour after LPS administration.",Tnf,LPS;lipopolysaccharide,
13,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,yes,"Primary macrophages accumulate large amounts of TNFa mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNFa gene.","LPS (form W from Escherichia coli 055:115; Difco Laboratories, Detroit, Michigan) was added between 24 and 36 h after transfection.",Tnfa;TNFA,LPS;Escherichia,
14,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,yes,"Without LPS, BFA had no appreciable effect on intracellular TNF, indicating no detectable basal TNF production. However, when added after stimulation with LPS, BFA led to wide-ranging accumulation of on average several-fold more TNF cell−1 h−1 (Fig. 1c, Supplementary Fig. 1c).","L23: To obtain a more direct readout of TNF production, we applied brefeldin A (BFA) to inhibit anterograde transport from the endoplasmic reticulum to the Golgi apparatus and prevent secretion.",Tnf,LPS,
15,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.","Pie charts represent the community composition at 8, 12 and 16 hours post stimulus with the indicated doses of LPS for BMDMs.",Tnf,LPS,
16,PMC11373197,Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies,success,no,no,,,,,
17,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,yes,"In a similar way NFkappaBi is responsible for a 30% and 70% reduction in TNFalpha gene transcription at 5 and 6 hours, respectively, following treatment with LPS (Figure 1B).","Figure 1: Activation of p38 MAP Kinase and NFkappaB pathways regulate LPS induced TNFalpha synthesis from human mature adipocytes. Panel B: TNFalpha gene expression. TNFalpha gene expression was determined at 4, 5 and 6 hours of treatment in mature adipocyte cultures, treated or not with: 1 ΓΘg/mL of LPS alone; LPS and NFkappaB inhibitor (NFkBi, 1 ΓΘM); LPS and p38 MAP kinase inhibitor (SB, 1 ΓΘM); LPS and NFkBi (1 ΓΘM) + SB (1 ΓΘM).",TNFalpha,LPS,
18,PMC3153254,Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α,success,yes,yes,LPS caused significant (P < 0.001) release of TNF-̥̣̑́̀́̂̈a as early as 1 h after addition and reached 3000 q 50 pg/mL after 24 h.,"Primary rat macrophages, i.e., Kupffer cells and peritoneal macrophages, were exposed to the vehicle or a standard dose of 2.5 mol/L OTA or 0.1g/mL LPS, respectively, during 24 h in culture.",Tnf,LPS,
19,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,no,no,,,,,
20,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,yes,"While LPS increased TNF-alpha production in control cells, secretion of TNF-alpha in response to LPS was increased by 1.7–2.2-fold in cells cultured with ethanol compared to controls [30].",RAW264.7 macrophages were cultured with and without 25 mM ethanol for 48 h and then stimulated or not with 100 ng/ml LPS for 2 to 4 h.,Tnf;TNF-alpha,LPS,
21,PMC3892557,CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production,success,yes,yes,RAW264 cells were stimulated with 1–1000 ng/mL of sLPS or rLPS of E. coli in the presence of 4C1 antibody which excluded LPS binding to CD14 [29]. We found that this blocking of function of CD14 nearly abolished TNF-α and RANTES production induced by 1 ng/mL of sLPS.,,Tnf,E. coli;LPS,
22,PMC1440772,Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase,success,yes,yes,LFS (5 mg/kg) alone showed a small amount of serum TNF-α (< 250 pg/mL) and a slight increase in AST (300 U/L) and ALT (30 U/L).,"A/J mice were intraperitoneally given Pb (100 µmol/kg), LPS (5 mg/kg), Pb+LPS, or saline (control).",Tnf,LPS,
23,PMC2211976,Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases,success,yes,yes,"Although p55 ΔNS/ΔNS macrophages showed similar kinetics of TNF mRNA production as wild-type cells, they displayed substantially increased levels of TNF mRNA at all time points measured.","To investigate whether macrophages expressing the nonsheddable p55TNFR show increased expression of TNF, we isolated thioglycollate-elicited peritoneal macrophages from p55 ΔNS/ΔNS and wild-type mice, and we compared the kinetics and the levels of TNF mRNA production after LPS induction using Northern analysis.",Tnf,LPS,
24,bio_1ab02dae6d41,The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models,timeout,,,,,,,
25,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1).",We first examined the expression of TNFα in LPS-treated RAW264.7 cells using RT-qPCR and immunoblotting assays.,Tnf,LPS,
