rank,paper_id,title,judge_status,answer,evidence
11,PMC2413043,Acetylation of mitogen-activated protein kinase phosphatase-1 inhibits Toll-like receptor signaling,success,yes,TSA decreases LPS-activated NO production in a dose-dependent manner (Fig. 1 A).
12,PMC150509,Activation of macrophage nuclear factor-κB and induction of inducible nitric oxide synthase by LPS,success,yes,Abundant iNOS mRNA was found in the LPS stimulated cells at 24 hours compared to untreated cells (Fig. 2).
13,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,
14,PMC12592619,Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,success,yes,"The results showed that 220 DEGs were upregulated in response to LPS challenge, among which the expression level of iNOS gene (Nos2) was significantly elevated (Fig. 1A)."
15,PMC7851796,Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,success,yes,"Quantitative real-time PCR analyses showed that the Ct values of TNF-\u03b1, IL-1\u03b2, and COX-2 were reduced by LPS treatment as compared to the control cells (Table 1, see S1 for raw data)."
16,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,yes,Interferon regulatory factors in macrophages like Irf1 actively regulate a macrophage effector activation with the expression of other pro-M1 genes such as IL-12 (Il12a and Il12b) and iNos (Nos2).
17,PMC8921716,Acute exacerbation of idiopathic pulmonary fibrosis model by small amount of lipopolysaccharide in rats,success,yes,"In the BLM (+)/LPS (0.05 or 0.15) group, the NOS2 levels in the lung at 24 h after LPS administration (1.0 pad 2.2 pad 0.7, respectively) were significantly higher than those in the BLM (−)/LPS (0.05 or 0.15) group (0.2 pad 0.04 or 0.9 pad 0.2, respectively) (p<0.01) (Fig. 10A)."
18,PMC8320646,Wheatgrass inhibits the lipopolysaccharide-stimulated inflammatory effect in RAW 264.7 macrophages,success,yes,"iNOS-2 and COX-2 mRNA expression under LPS induction in RAW 264.7 cells increased by about 2.2- and 2.5- fold, respectively (Fig. 5, Fig. 6)."
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,
20,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,yes,A caveat to this classification may be the case of Nos2 that shows up in the pro-inflammatory category in our analysis.
21,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,Preculture of thioglycollate-elicited C3HeB/FeJ mouse peritoneal macrophages in vitro with subthreshold stimulatory concentrations of lipopolysaccharide (LPS) can induce hyporesponsiveness (desensitization) to both tumor necrosis factor alpha (TNF-alpha) and nitric oxide (NO) production when these cells are subsequently stimulated with 100 ng/ml of LPS.
22,PMC12572803,Nitroalkene inhibition of pro-inflammatory macrophage effector function via modulation of signaling metabolite levels,success,yes,"First, it was confirmed that LPS induced NOS2 expression at 12 h."
23,PMC13204866,Phenolic-Enriched Fractions of Rubus buergeri Attenuate LPS-Induced Nitric Oxide Production and Inflammatory Gene Expression in Macrophages,success,yes,Pretreatment with RBE significantly suppressed the LPS-induced upregulation of these genes.
24,PMC8586549,Innate Resistance to Leishmania amazonensis Infection in Rat Is Dependent on NOS2,success,yes,"Rat macrophages showed a significantly different L-arginine metabolism from mouse macrophages. This is characterized by the predominant usage of L-arginine by the NOS2 pathway, which confers strong resistance to Leishmania infection."
25,PMC4888589,The Sur1-Trpm4 channel regulates NOS2 transcription in TLR4-activated microglia,success,yes,"Following TLR4 ligation, Abcc8 mRNA was significantly upregulated at 6 and 24 h (5.6- and 2.2-fold vs. control, respectively, p < 0.05), as was mRNA for Trpm4 (1.4- and 1.9-fold vs. control, respectively, p < 0.05) (Fig. 4b), corroborating our observations in vivo. mRNA for Il-1̠β also was significantly upregulated at both times (11.6- and 10.3-fold vs. control, respectively, p < 0.05). No change was observed in Kcnj11 mRNA at either time. Consistent with the induction of Abcc8 and Trpm4, enhanced immunolabelings for Sur1 and Trpm4 were observed 24 h after TLR4 activation, but no change in Kir6.2 immunoreactivity was apparent (Fig. 4c)."
