rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
11,PMC5918604,Augmentation and Suppression of Release of Tumor Necrosis Factor from Macrophages by Negatively Charged Phospholipids,success,yes,"Ten to 20 ΓΘg/ml of cardiolipin, which is a suboptimal concentration for macrophage growth‐stimulation, augmented macrophage TNF release triggered by lipopolysaccharide (LPS) in vitro.",Tnf,lipopolysaccharide;LPS,
12,PMC8716064,Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction,success,yes,"In order to assess the validity of LysMCre driven TNF-̕ deletion, we challenged a subset TNF-̕F/F,LyzMCre, and TNF-̕F/F mice with LPS. Similar to the results of others, [13] mice with LyzMCre deletion of TNF-̕ displayed a significantly reduced TNF-̕ response to the LPS challenge (P < .05) (Figure S1).",Tnf,LPS,
13,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,"Primary macrophages accumulate large amounts of TNF-alpha mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNF-alpha gene.",Tnf;TNF-alpha,LPS,
14,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,"Pretreatment of cells with IL-10, prior to treatment with LPS, diminished the average intracellular TNF protein expression measured at 3 h post-stimulation (hps), although TNF distributions across IL-10 doses were broad and overlapping (Fig. 1b, Supplementary Fig. 1a).",Tnf,LPS,
15,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.",Tnf,,yes->no: evidence does not name LPS or infection
16,PMC11373197,Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies,success,no,,,,
17,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,"In a similar way NFkappaBi is responsible for a 30% and 70% reduction in TNFalpha gene transcription at 5 and 6 hours, respectively, following treatment with LPS (Figure 1B).",TNFalpha,LPS,
18,PMC3153254,Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α,success,yes,"After 24 h of LPS exposure, TNF-\u03b1 concentrations reached 2600 \u00b1 250 pg/mL.",Tnf,LPS,
19,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,no,,,,
20,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,"While LPS increased TNF-alpha production in control cells, secretion of TNF-alpha in response to LPS was increased by 1.7–2.2-fold in cells cultured with ethanol compared to controls [30].",Tnf;TNF-alpha,LPS,
21,PMC3892557,CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production,success,no,RAW264 cells were stimulated with 1–1000 ng/mL of sLPS or rLPS of E. coli in the presence of 4C1 antibody which excluded LPS binding to CD14 [29].,,E. coli;LPS,yes->no: evidence does not name the gene
22,PMC1440772,Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase,success,yes,"LPS (5 Γ ΓΕΓ""/mL) increased the expression of mean TNF-ΓΓ in whole-blood culture to 75 pg/mL (mean value) in 1.5 hr.",Tnf,LPS,
23,PMC2211976,Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases,success,yes,"After LPS stimulation, however, the peak concentration of both TNF and p75TNFR were found to be significantly enhanced in sera of mutant mice as compared with control animals (Fig. 3 A).",Tnf,LPS,
24,bio_1ab02dae6d41,The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models,success,yes,"As shown in figure 3.6, a substantial increase in the TNF- ̕α cytokine concentration was observed in LPS treated cells.",Tnf,LPS,
25,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1).",Tnf,LPS,
