rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
20,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,"While LPS increased TNF-alpha production in control cells, secretion of TNF-alpha in response to LPS was increased by 1.7–2.2-fold in cells cultured with ethanol compared to controls [30].",Tnf;TNF-alpha,
21,PMC3892557,CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production,success,yes,RAW264 cells were stimulated with 1–1000 ng/mL of sLPS or rLPS of E. coli in the presence of 4C1 antibody which excluded LPS binding to CD14 [29]. We found that this blocking of function of CD14 nearly abolished TNF-α and RANTES production induced by 1 ng/mL of sLPS.,Tnf,
22,PMC1440772,Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase,success,yes,L35: LPS (5 \u03bcg/mL) increased the expression of mean TNF-\u03b1 in whole-blood culture to 75 pg/mL (mean value) in 1.5 hr.,Tnf,
23,PMC2211976,Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases,success,no,"After LPS induction, mRNA levels in wild-type macrophages rapidly increase to a peak at 1 h and slowly return to baseline between 3 and 6 h.",,yes->no: evidence does not name the gene
24,bio_1ab02dae6d41,The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models,success,yes,"As shown in figure 3.6, a substantial increase in the TNF-̓ cytokine concentration was observed in LPS treated cells.",Tnf,
25,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1).",Tnf,
26,PMC7725547,Apigenin-7-Glucuronide from Urera aurantiaca Inhibits Tumor Necrosis Factor Alpha and Total Nitrite Release in Lipopolysaccharide-Activated Macrophages,success,yes,"As expected, the treatment of RAW264.7 cells with LPS increased NO levels (Figure 2)... Also, A7G and the extract significantly decreased TNF-α level in a concentration-dependent manner in LPS-stimulated macrophages.",Tnf,
27,PMC5919345,Induction of Tumor Necrosis Factor in Mice by Recombinant Human Macrophage Colony‐stimulating Factor,success,yes,The intravenous injection of lipopolysaccharide (LPS) after the administration of rhM‐CSF via the same route induced the production of endogenous cytotoxic activity in serum as assessed by using TNF‐sensitive miirine L929 cells.,Tnf,
28,PMC6336827,Human TNF-Luc reporter mouse: A new model to quantify inflammatory responses,success,yes,"In peritoneal macrophages, peak fold-change in Tnf mRNA (2.23  0.15, mean fold change  s.e.m.), as well as luciferase mRNA (1.76  0.13) occurred at 1 h (Fig. 3c).",Tnf,
29,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,yes,"L90: ""(d) Increased tnf promoter-driven mCherry expression in RAW G9 cells up to 16 h after treatment with 10 ngml−1 LPS at 16 h after treatment with LPS.""",Tnf,
30,PMC5698820,TNF Tolerance in Monocytes and Macrophages: Characteristics and Molecular Mechanisms,success,no,,,
31,PMC4165740,Vitamin C Mitigates Oxidative Stress and Tumor Necrosis Factor-Alpha in Severe Community-Acquired Pneumonia and LPS-Induced Macrophages,success,yes,It has been shown that concentrations of TNF-͑ released from LPS-stimulated cells increased significantly [23].,Tnf,
32,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,Transcriptomic analysis of the reporter cell line under the same conditions of LPS stimulation was used to filter for hits clearly expressed in target cells.,,yes->no: evidence does not name the gene
33,PMC4259568,Inhibiting TNF-α signaling does not attenuate induction of endotoxin tolerance,success,yes,"Exogenous TNF-α stimulation caused a dose-dependent endogenous TNF-α response, and for most concentrations produced more than double the amount of TNF-α used for stimulation (Figure 1A).",Tnf,
34,PMC4898755,Investigating the Role of TNF-α and IFN-γ Activation on the Dynamics of iNOS Gene Expression in LPS Stimulated Macrophages,success,no,,,
35,PMC3827119,Role of Protein Tyrosine Phosphatase Non-Receptor Type 7 in the Regulation of TNF-α Production in RAW 264.7 Macrophages,success,yes,"TNF-̑a levels increased sharply at early times of LPS treatment, then increased gradually and reached maximal point at 8 h after LPS treatment.",Tnf,
36,PMC3964895,Upregulating Nonneuronal Cholinergic Activity Decreases TNF Release from Lipopolysaccharide-Stimulated RAW264.7 Cells,success,yes,"L36: When stimulated with LPS (100 ng/mL), RAW264.7 cells released a large number of TNF (Figure 1(a)) and upregulated TNF mRNA expression level (Figure 1(b)).",Tnf,
37,PMC2199123,The Macrophage Scavenger Receptor Type A Is Expressed by Activated Macrophages and Protects the Host Against Lethal Endotoxic Shock,success,yes,Significantly higher levels of TNF-Α were present in the plasma of SRKO mice relative to wild-type mice (Fig. 5 A).,Tnf,
38,PMC5431130,"Lipopolysaccharide-induced NF-κB nuclear translocation is primarily dependent on MyD88, but TNFα expression requires TRIF and MyD88",success,yes,"The mCherry fluorescence driven from the TNF́̕α promoter did not increase in TKO following LPS stimulation, in contrast to WT cells (Fig. 1a lower and 1c right; Supplementary Movie 5).",Tnf,
39,PMC3333514,Monocyte normal immune response to LPS stimulation,success,yes,"After different doses of LPS stimulation for 4 hours TNF-a levels were as follows: (a) 50 pg/ml LPS: 995.8 ± 60.6 totally and 9.5 ± 1.6/monocyte, (b) 100 pg/ml LPS: 1084.6 ± 62.2 totally and 10.8 ± 1.9/monocyte (c) 250 pg/ml LPS: 1214.7 ± 73.1 totally and 13.9 ± 2.6/monocyte (d) 500 pg/ml LPS: 1307.1 ± 68.4 totally and 16.6 ± 2.8/monocyte (e) 1000 pg/ml LPS: 1214.2 ± 67.2 totally and 16.8 ± 2.1/monocyte",Tnf,
40,PMC3871562,Estrogen-Induced Nongenomic Calcium Signaling Inhibits Lipopolysaccharide-Stimulated Tumor Necrosis Factor α Production in Macrophages,success,yes,Figure 1A shows that the production of TNF-Α was dose dependently up-regulated in BMMs after 24 h of LPS stimulation.,Tnf,
41,PMC3217009,Pre-Treatment of Recombinant Mouse MFG-E8 Downregulates LPS-Induced TNF-α Production in Macrophages via STAT3-Mediated SOCS3 Activation,success,yes,"RAW264.7 cells and mouse peritoneal macrophages treated with rmMFG-E8 significantly downregulated LPS-induced TNF-Α mRNA by 25% and 24%, and protein levels by 29% and 23%, respectively (P<0.05).",Tnf,
42,PMC3184169,LITAF Mediation of Increased TNF-α Secretion from Inflamed Colonic Lamina Propria Macrophages,success,yes,LPM harvested from TNBS-treated mice secreted significantly more TNF-̕a at basal state and in response to LPS than LPM from untreated mice (p<0.05).,Tnf,
43,PMC1383482,Modulation of Tumor Necrosis Factor by Microbial Pathogens,success,yes,"Two other type III secretory proteins from Yersinia pestis, Low calcium response V (LcrV) or V antigen and YopB inhibit production of TNF from murine peritoneal macrophages by inhibiting the transcription factor NF-\u03baB after LPS treatment [99].",Tnf,
44,PMC1079929,Unaltered TNF-α production by macrophages and monocytes in diet-induced obesity in the rat,success,yes,Ex vivo LPS-stimulation of full blood preparations resulted in a dose-dependent increase in the production of TNF-Α (Fig. 3).,Tnf,
45,PMC4427353,Globular Adiponectin Causes Tolerance to LPS-Induced TNF-α Expression via Autophagy Induction in RAW 264.7 Macrophages: Involvement of SIRT1/FoxO3A Axis,success,yes,"As shown in Fig 3A, pretreatment with gAcrp prevented LPS-induced TNF-\u03b1 mRNA expression in RAW 264.7 macrophages consistent with the previous reports.",Tnf,
46,PMC3157435,Lipopolysaccharide and Tumor Necrosis Factor Regulate Parkin Expression via Nuclear Factor-Kappa B,success,yes,We found that CDDO-Im induced a dose-dependent increase in Parkin mRNA and a concomitant decrease in TNF mRNA as measured by real-time PCR ( Figure 3A ).,Tnf,
47,PMC6953048,LPS Inhibits Fatty Acid Absorption in Enterocytes through TNF-α Secreted by Macrophages,success,yes,"Consistent with previous studies, the gene expression of Il-1β, Il-6, and TNF-α in 3D4/2 increased after LPS treatment for 6 h (Figure 6A–C).",Tnf,
48,PMC4770305,Intracellular NAD+ levels are associated with LPS-induced TNF-α release in pro-inflammatory macrophages,success,no,,,
49,PMC7878383,The Threshold Effect: Lipopolysaccharide-Induced Inflammatory Responses in Primary Macrophages Are Differentially Regulated in an iRhom2-Dependent Manner,success,yes,Quantification of the mRNA levels of TNF (A) and IL1β (B) by RT-qPCR in murine WT BMDMs following stimulation with titrated doses of LPS for 1 h in the presence or absence of 5 µM of the metalloproteinase inhibitor DPC333.,Tnf,
50,PMC7086208,microRNA-15a-5p participates in sepsis by regulating the inflammatory response of macrophages and targeting TNIP2,success,yes,"The results indicated that the expression levels of IL-1̢, IL-6 and TNF-̱ were significantly increased in RAW264.7 macrophages after treatment with LPS compared with the control group (Fig. 1A-C).",Tnf,
