task_id,grader_slot,double_graded,gene,gene_names,rank,paper_id,link,title,quote_result,quote_context,grader,call,reason,where_in_paper,notes
T057,G1,,Cxcl1,"Cxcl1; C-X-C motif chemokine ligand 1; Mgsa; Scyb1; Gro1; KC/GRO-alpha; CXCL1; SCYB1; GROa; MGSA-a; NAP-3; MGSA; GRO1; melanoma growth stimulating activity, alpha",6,bio_e45382736c86,https://www.biorxiv.org/search/TET1%20controls%20%20Cxcl1%20%20induction%20by%20DNA%20demethylation%20and%20promotes%20neutrophil%20recruitment%20during%20acute%20lung%20injury,TET1 controls  Cxcl1  induction by DNA demethylation and promotes neutrophil recruitment during acute lung injury,"L71: Upon LPS stimulation, the total level of CXCL1 protein was significantly repressed in the BAL fluid obtained from Tet1-/- mice as compared to that from WT and Tet1+/- controls ( Fig. 6B ), which is consistently with the essential role of TET1 in the regulation of Cxcl1 induction.","L70: Figure 6. Defective neutrophil recuriment and Cxcl1 production in BAL fluid of Tet1-/- mice in LPS-induced acute lung injury. (A) WT and Tet1-/- mice were intranasally injected with LPS (0.5mg/kg) for 4 hr, and Bronchoalveolar lavage (BAL) fluids were collected and analyzed by flow cytometry.",,,,,
T090,G1,,Cxcl1,"Cxcl1; C-X-C motif chemokine ligand 1; Mgsa; Scyb1; Gro1; KC/GRO-alpha; CXCL1; SCYB1; GROa; MGSA-a; NAP-3; MGSA; GRO1; melanoma growth stimulating activity, alpha",9,PMC9225349,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225349/,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,"The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",Mouse Chemokines and Receptors RT2 Profiler PCR arrays were used to explore the global gene expression patterns in LPS-stimulated LA4 cells.,,,,,
T028,G1,,Cxcl2,Cxcl2; C-X-C motif chemokine ligand 2; MIP-2; Mip2; Scyb; Scyb2; Mgsa-b; MIP-2a; CINC-2a; GROb; Gro2; CXCL2; SCYB2; MGSA-b; GRO2,5,PMC11049839,https://pmc.ncbi.nlm.nih.gov/articles/PMC11049839/,Anti-Neuroinflammatory Effects of a Macrocyclic Peptide-Peptoid Hybrid in Lipopolysaccharide-Stimulated BV2 Microglial Cells,LPS stimulation reliably increased the CXCL2 expression and release in BV2 microglial cells (Figure 6).,"L92: Figure 6: Effects of X15856 on the gene expression (A) and protein synthesis (B) of CXCL2 in LPS-stimulated BV2 cells. Cells were stimulated as described in the Section 4. (A) After 4 h of stimulation, RNA was isolated and the gene expression of CXCL2 was measured using qPCR. (B) After 24 h of stimulation, supernatants were collected and the release of CXCL2 was measured with ELISA. Values are presented as the mean ± SD of at least three independent experiments. Statistical analysis was performed using one-way ANOVA with Dunnett’s post hoc tests with **** p < 0.0001 compared to LPS.",,,,,
T017,G1,,Edn1,Edn1; endothelin 1; ET-1; EDN1,1,PMC2188743,https://pmc.ncbi.nlm.nih.gov/articles/PMC2188743/,"Endothelins, peptides with potent vasoactive properties, are produced by human macrophages","From a basal level of 11 pg/ml, LPS induced a sixfold increase of endothelin 1 to 65 pg/ml.","For stimulation experiments, 10 microg/ml of LPS (Escherichia coli; Calbiochem-Behring Corp., La Jolla, CA), 10^-7 M PMA (Sigma Chemical Co., St. Louis, MO), or 5 ng/ml of TGF-beta, kindly provided by Dr. Michael Sporn, National Cancer Institute, were added to the medium.",,,,,
T104,G1,,Edn1,Edn1; endothelin 1; ET-1; EDN1,2,PMC7779813,https://pmc.ncbi.nlm.nih.gov/articles/PMC7779813/,"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",The relative expression of Edn1 in cells treated with mmLDL and LPS was higher than that in cells treated with LPS alone (Figure 4A).,"Macrophage cells were treated with LPS with or without mmLDL, and Edn1 mRNA expression was determined (L88).",,,,,
T117,G1,,Edn1,Edn1; endothelin 1; ET-1; EDN1,17,PMC3826139,https://pmc.ncbi.nlm.nih.gov/articles/PMC3826139/,Chlorella 11-Peptide Inhibits the Production of Macrophage-Induced Adhesion Molecules and Reduces Endothelin-1 Expression and Endothelial Permeability,"L28: The addition of 50% RAW-conditioned medium strongly induced the endothelin-1 (ET-1) mRNA expression in SVEC4-10 endothelial cells (p < 0.005, Figure 5).","L47: For stimuli, the culture medium of SVEC4-10 cells was changed to “50% RAW-conditioned medium” (made of equal volume of SVEC4-10 medium and the supernatant of LPS-stimulated RAW264.7 culture medium) with and without Chlorella 11-peptide.",,,,,
T004,G1,,Lipg,"Lipg; lipase G, endothelial type; mEDL; endothelial lipase; LIPG",21,PMC6694707,https://pmc.ncbi.nlm.nih.gov/articles/PMC6694707/,LIPG supports adaption to oxidative stress,,,,,,,
T052,G1,,Lipg,"Lipg; lipase G, endothelial type; mEDL; endothelial lipase; LIPG",23,PMC13172313,https://pmc.ncbi.nlm.nih.gov/articles/PMC13172313/,NCBP2 drives colorectal cancer growth and metastasis through LIPG-mediated lipid droplet accumulation,,,,,,,
T082,G1,,Lipg,"Lipg; lipase G, endothelial type; mEDL; endothelial lipase; LIPG",24,PMC3296002,https://pmc.ncbi.nlm.nih.gov/articles/PMC3296002/,Increased expression of endothelial lipase in symptomatic and unstable carotid plaques,,,,,,,
T051,G1,,Nos2,"Nos2; nitric oxide synthase 2, inducible; iNOS; Nos-2; NOS-II; Nos2a; NOS2; nitric oxide synthase 2; HEP-NOS; NOS2A",24,PMC12572803,https://pmc.ncbi.nlm.nih.gov/articles/PMC12572803/,Nitroalkene inhibition of pro-inflammatory macrophage effector function via modulation of signaling metabolite levels,"First, it was confirmed that LPS induced NOS2 expression at 12 h.","Wild-type RAW 264.7 macrophages treated with vehicle (0.01% DMSO), NO2-OA (5 QM), or 1400W (100 QM) were stimulated with LPS (10 ng/mL).",,,,,
T059,G1,,Nos2,"Nos2; nitric oxide synthase 2, inducible; iNOS; Nos-2; NOS-II; Nos2a; NOS2; nitric oxide synthase 2; HEP-NOS; NOS2A",18,PMC4191211,https://pmc.ncbi.nlm.nih.gov/articles/PMC4191211/,Nitric Oxide Synthase: Non-Canonical Expression Patterns,,,,,,,
T011,G1,,Ptgs2,Ptgs2; prostaglandin-endoperoxide synthase 2; Cox-2; cyclooxygenase 2; Pghs2; COX2; prostaglandin G/H synthase; PHS-2; cyclooxygenase-2; PGHS-2; Tis10; PTGS2; prostaglandin G/H synthase 2,5,PMC12083002,https://pmc.ncbi.nlm.nih.gov/articles/PMC12083002/,Curcumin alleviates LPS-induced WI-38 cell inflammation injury by regulating PTGS2 expression,"L62: As shown in Fig. 3A, LPS promoted the expression of PTGS2, while the action was weakened by CUR in a dose-dependent manner.",L63: Fig. 3: PTGS2 is a potential target of CUR. A The expression of PTGS2 was detected when WI-38 cells were treated with the LPS or combined with different concentrations of CUR.,,,,,
T010,G1,yes,Rasgrp1,Rasgrp1; RAS guanyl releasing protein 1; RASGRP1; CalDAG-GEFII; RASGRP; calcium- and diacylglycerol-regulated guanine nucleotide exchange factor II,1,PMC4143924,https://pmc.ncbi.nlm.nih.gov/articles/PMC4143924/,RasGRP3 limits Toll-like receptor-triggered inflammatory response in macrophages by activating Rap1 small GTPase,"In addition, we found that RasGRP2 and RasGRP4 were downregulated while RasGRP1 was upregulated by LPS, Poly (I:C) or CpG ODN (Supplementary Fig. 1).","By examining the expression profiles of RasGRP1–4 in mouse peritoneal macrophages and mouse bone marrow-derived macrophages, we found that RasGRP3 showed the highest expression level, sequentially followed by RasGRP2 or RasGRP4 (Fig. 1a,b).",,,,,
T092,G1,,Rnd1,"Rnd1; Rho family GTPase 1; Arhs; RND1; Rho6; ARHS; RHOS; ras homolog gene family, member S",1,PMC9161769,https://pmc.ncbi.nlm.nih.gov/articles/PMC9161769/,Essential role of Rnd1 in innate immunity during viral and bacterial infections,Results suggest that Rnd1 is induced by virus and bacterial infection and pro-inflammatory cytokines but not by Type-I interferons (Fig. 1D).,"A peripheral blood mononuclear cells (PBMCs) were infected with Listeria monocytogenes (LM) for 24 h and Rnd1 expression was analysed by RT-PCR analysis, B A549 cells were infected with PR8 or C Hela cells were infected with LM and expression of Rnd1 was analysed by RT-PCR after 0, 3, 12, and 24 h of infection or by western blotting using specific antibody 12 h post infection.",,,,,
T050,G1,,Serpina3f,"Serpina3f; serine (or cysteine) peptidase inhibitor, clade A, member 3F; antitrypsin; alpha-1 antiproteinasin; SERPINA3; serpin family A member 3; AACT; alpha-1 antichymotrypsin",3,PMC9979126,https://pmc.ncbi.nlm.nih.gov/articles/PMC9979126/,N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice,"Supported by the analysis of RNA-sequencing data mentioned above, we noticed Serpina3f expression is also substantially boosted in BMDMs following LPS treatment among the 14 members of mouse Serpina3 family (Serpina3a-n) (Fig. S4i).","In BMDMs exposed to LPS, we verified the upregulation of Serpina3f and confirmed overexpression of SERPINA3F exerted an inhibitory function in cytokines (Fig. S4i-k).",,,,,
T042,G1,yes,Serpina3g,"Serpina3g; serine (or cysteine) peptidase inhibitor, clade A, member 3G; Spi2-1; Spi2/eb.1; alpha-1 antiproteinase,; alpha-1 antiproteinase; Spi2A; SERPINA3; serpin family A member 3; AACT; alpha-1 antichymotrypsin",1,PMC2817383,https://pmc.ncbi.nlm.nih.gov/articles/PMC2817383/,Comparative Analyses of Transcriptional Profiles in Mouse Organs Using a Pneumonic Plague Model after Infection with Wild-Type Yersinia pestis CO92 and Its Braun Lipoprotein Mutant,"Also upregulated in WT Y. pestis-infected mice were the IFN-g-regulated serine proteases Serpina3g and Serpina3n (Supplementary, Table 2), which can inhibit caspase-independent death [32] and assist in the development of memory CD8 T cells [33].","We employed Murine GeneChips to delineate the global transcriptional profiles of the livers, lungs, and spleens in a mouse pneumonic plague infection model with wild-type (WT) Y. pestis CO92 and its Braun lipoprotein (\u0394l p p) mutant with reduced virulence.",,,,,
T068,G1,yes,Serpinb2,"Serpinb2; serine (or cysteine) peptidase inhibitor, clade B, member 2; PAI-2; Planh2; ovalbumin; SERPINB2; serpin family B member 2; HsT1201; PLANH2; PAI2; plasminogen-activator inhibitor",5,PMC10638313,https://pmc.ncbi.nlm.nih.gov/articles/PMC10638313/,Transcriptomic analysis reveals that RasGEF1b deletion alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses in macrophages,"Its expression is highly induced by LPS in macrophages [41, 53].",We used a luciferase-based reporter assay to showcase the capability of RasGEF1b in activating the Serpinb2 promoter.,,,,,
T003,G1,,Steap4,Steap4; STEAP family member 4; Tiarp; Tnfaip9; STEAP4; STEAP4 metalloreductase; TIARP; STAMP2; SchLAH; TNFAIP9; seven chromosome locus associated with HCC,1,PMC8576732,https://pmc.ncbi.nlm.nih.gov/articles/PMC8576732/,The expression of STEAP4 in peripheral blood predicts the outcome of septic patients,"As shown in Figure 7, both mRNA and protein expression of STEAP4 were significantly increased in septic liver cells.","The mouse macrophage RAW264.7 cells used in this study were purchased from Shanghai Cell Bank of Chinese Academy of Sciences and cultured in complete medium containing 10% fetal bovine serum. Lipopolysaccharide (LPS, purchased from Sigema, USA) was used to model sepsis cells at a dose of 100 ng/mL.",,,,,
T119,G1,yes,Tnfsf15,"Tnfsf15; tumor necrosis factor (ligand) superfamily, member 15; VEGI; TL1A; TNFSF15; TNF superfamily member 15; VEGI192A; TNF superfamily ligand TL1A; TNF ligand-related molecule 1; vascular endothelial growth inhibitor; vascular endothelial cell growth inhibitor; vascular endothelial growth inhibitor-192A",7,PMC6130856,https://pmc.ncbi.nlm.nih.gov/articles/PMC6130856/,Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease,"In monocytes stimulated with immune complex and intracellular poly(I:C), the protective allele was associated with higher levels of TNFSF15 mRNA (p 1.33 x 10−3 and p 0.0155, respectively), similar to results in unstimulated cells, while LPS-stimulated monocytes showed a comparable trend but with more variability (p 0.273, Fig 2A).","Monocytes were stimulated with 100 ng/mL LPS (Sigma), plate-bound immune complex (as previously described [52]), or 100 μg/mL intracellular polyinosinic:polycytidylic acid (poly(I:C)), prepared with 1 mg/mL high molecular weight poly(I:C) mixed 1:1 with LyoVec transfection reagent (Invivogen) at RT for 15 minutes.",,,,,
T064,G1,,Tnfsf4,"Tnfsf4; tumor necrosis factor (ligand) superfamily, member 4; OX40L; gp34; Txgp1l; Ath-1; TXGP1; CD134L; Ath1; TNFSF4; TNF superfamily member 4; OX-40L; CD252",7,PMC10091190,https://pmc.ncbi.nlm.nih.gov/articles/PMC10091190/,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,,,,,,,
T069,G1,yes,Tnfsf4,"Tnfsf4; tumor necrosis factor (ligand) superfamily, member 4; OX40L; gp34; Txgp1l; Ath-1; TXGP1; CD134L; Ath1; TNFSF4; TNF superfamily member 4; OX-40L; CD252",1,PMC5332009,https://pmc.ncbi.nlm.nih.gov/articles/PMC5332009/,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,,,,,,,
T128,G1,,Tnfsf4,"Tnfsf4; tumor necrosis factor (ligand) superfamily, member 4; OX40L; gp34; Txgp1l; Ath-1; TXGP1; CD134L; Ath1; TNFSF4; TNF superfamily member 4; OX-40L; CD252",25,PMC11135766,https://pmc.ncbi.nlm.nih.gov/articles/PMC11135766/,In vivo cisplatin-resistant neuroblastoma metastatic model reveals tumour necrosis factor receptor superfamily member 4 (TNFRSF4) as an independent prognostic factor of survival in neuroblastoma,,,,,,,
T124,G1,yes,Trim30c,Trim30c; tripartite motif-containing 30C; Trim30-2,6,PMC7607666,https://pmc.ncbi.nlm.nih.gov/articles/PMC7607666/,Tripartite Motif Containing 52 Positively Regulates NF-κB Signaling by Promoting IκBα Ubiquitination in Lipopolysaccharide-Treated Microglial Cell Activation,,,,,,,
T098,G2,,Acod1,Acod1; aconitate decarboxylase 1; Irg1; ACOD1; IRG1,19,bio_3de035726f50,https://www.biorxiv.org/search/Macrophages%20inhibit%20%20Coxiella%20burnetii%20%20by%20the%20ACOD1-itaconate%20pathway%20for%20containment%20of%20Q%20fever,Macrophages inhibit  Coxiella burnetii  by the ACOD1-itaconate pathway for containment of Q fever,"Infection of primary murine and human macrophages in vitro rapidly triggered expression of Acod1 ( Fig. 1B, C ).",Infection with the intracellular bacterium Coxiella (C.) burnetii can cause chronic Q fever with severe complications and limited treatment options.,,,,,
T021,G2,yes,Bcl2a1a,Bcl2a1a; B cell leukemia/lymphoma 2 related protein A1a; Bfl-1; Bcl2a1; Hbpa1; BCL2A1; BCL2 related protein A1; BFL1; BCL2L5; ACC-1; ACC-2; ACC2; ACC1; HBPA1,2,PMC10626451,https://pmc.ncbi.nlm.nih.gov/articles/PMC10626451/,A1 is induced by pathogen ligands to limit myeloid cell death and NLRP3 inflammasome activation,"Bcl2a1 was absent in unstimulated BMDMs and rapidly, albeit transiently, induced at the mRNA and protein level in response to Escherichia coli O111:B4 (B4) and/or O55:B5 (B5) LPS serotypes (Figs 1F and G, and EV1K).","L23: Further examination of pro‐survival BCL‐2 family expression over time in response to LPS revealed relatively stable expression of Bcl2l1 (encodes BCL‐XL) and Mcl1 mRNA (Figs 1F and G, and EV1K).",,,,,
T022,G2,,Col27a1,"Col27a1; collagen, type XXVII, alpha 1; COL27A1; collagen type XXVII alpha 1 chain",4,PMC10091190,https://pmc.ncbi.nlm.nih.gov/articles/PMC10091190/,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,,,,,,,
T080,G2,,Col27a1,"Col27a1; collagen, type XXVII, alpha 1; COL27A1; collagen type XXVII alpha 1 chain",19,PMC11232647,https://pmc.ncbi.nlm.nih.gov/articles/PMC11232647/,LPS-induced senescence of macrophages aggravates calcification and senescence of vascular smooth muscle cells via IFITM3,,,,,,,
T093,G2,yes,Col27a1,"Col27a1; collagen, type XXVII, alpha 1; COL27A1; collagen type XXVII alpha 1 chain",8,PMC13199726,https://pmc.ncbi.nlm.nih.gov/articles/PMC13199726/,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,,,,,,,
T013,G2,,Cxcl10,Cxcl10; C-X-C motif chemokine ligand 10; CRG-2; IP-10; Ifi10; Scyb10; gIP-10; INP10; mob-1; IP10; CXCL10; IFI10; crg-2; SCYB10,3,PMC5207674,https://pmc.ncbi.nlm.nih.gov/articles/PMC5207674/,CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,"After 12 h of LPS injection, the relative mRNA expression of CXCL10 and CXCR3 (34.60±9.76 and 1.57±0.32 respectively) were significantly increased compared with the saline control group (p<0.01) (Fig 3A and 3B).","12 h after LPS or saline was administered, the right lower lungs were obtained.",,,,,
T012,G2,,Cxcl3,Cxcl3; C-X-C motif chemokine ligand 3; Dcip1; CXCL3; SCYB3; GROg; MIP-2b; CINC-2b; GRO3,5,PMC6219809,https://pmc.ncbi.nlm.nih.gov/articles/PMC6219809/,Prevention of lipopolysaccharide-induced preterm labor by the lack of CX3CL1-CX3CR1 interaction in mice,,,,,,,
T029,G2,,Cxcl3,Cxcl3; C-X-C motif chemokine ligand 3; Dcip1; CXCL3; SCYB3; GROg; MIP-2b; CINC-2b; GRO3,8,PMC10341832,https://pmc.ncbi.nlm.nih.gov/articles/PMC10341832/,C-X-C Motif Chemokine 3 Promotes the Inflammatory Response of Microglia after Escherichia coli-Induced Meningitis,"Furthermore, meningitic E. coli infection promoted CXCL3 protein expression (Figure 1B).","(C,D) CXCL3 immunoblot results from whole cell extracts after infecting (C) hBMECs or (D) U251 cells after meningitic E. coli infection at an MOI of 10 for 1, 2, and 3 h.",,,,,
T032,G2,yes,Cxcl3,Cxcl3; C-X-C motif chemokine ligand 3; Dcip1; CXCL3; SCYB3; GROg; MIP-2b; CINC-2b; GRO3,11,PMC9225349,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225349/,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,"L38: The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",L37: 3.1.1. The Gene Expression Profiles of Chemokines and Their Receptors in LPS Stimulated Lung Epithelial Cells Using Mouse Chemokines and Receptors RT2 Profiler PCR Arrays,,,,,
T110,G2,,Cxcl3,Cxcl3; C-X-C motif chemokine ligand 3; Dcip1; CXCL3; SCYB3; GROg; MIP-2b; CINC-2b; GRO3,1,PMC12557704,https://pmc.ncbi.nlm.nih.gov/articles/PMC12557704/,USP7-mediated stabilization of CXCL3 aggravates inflammation in models of acute lung injury,"Furthermore, LPS augmented CXCL3 mRNA and protein expression in HLMVECs in a dose-dependent manner (L94).",L94: Figure 1: CXCL3 expression in patient plasma and LPS-stimulated endothelial cells.,,,,,
T072,G2,,Iigp1,Iigp1; interferon inducible GTPase 1; Irga6,16,PMC5785964,https://pmc.ncbi.nlm.nih.gov/articles/PMC5785964/,Down-regulation of guanylate binding protein 1 causes mitochondrial dysfunction and cellular senescence in macrophages,"Moreover, Gbp1 protein levels were increased in iWAT in mice after one-hour LPS treatment, without a further increase upon 6-hour LPS stimulation (L16).",L17: Figure 1: Regulation of Gbp1 expression in adipose tissue by HFD feeding and LPS stimulation.,,,,,
T088,G2,,Iigp1,Iigp1; interferon inducible GTPase 1; Irga6,5,PMC6016484,https://pmc.ncbi.nlm.nih.gov/articles/PMC6016484/,ARL11 regulates lipopolysaccharide-stimulated macrophage activation by promoting mitogen-activated protein kinase (MAPK) signaling,,,,,,,
T100,G2,,Iigp1,Iigp1; interferon inducible GTPase 1; Irga6,7,PMC4951018,https://pmc.ncbi.nlm.nih.gov/articles/PMC4951018/,Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,"L96: LPS stimulated alveolar macrophages showed enrichment of interferon stimulated genes (ISGs) including ISG15, IFIT1, IFIT2, IFIT3, MX1, MX2, OAS1, OAS2, OAS3, IFNB1 in addition to antimicrobial guanylate binding proteins GBP2 (mouse homolog Gbp1), GBP4 (mouse homolog Gbp3), GBP5 (mouse homolog Gbp5), and GBP7 (mouse homolog Gbp7) (Fig 2B, S2 Table).","L25: BAL samples from five of the healthy volunteers (samples 11–15, Table 1) were cultured with RPMI1640 + 10% human AB serum and supplemented with 1% Antibiotic-Antimycotic (Life Technologies), with or without ultrapure LPS 100 ng/ml (E. coli 0111:B4, List Biological Laboratories, Cat# 421, Lot# 4217A1) at 37°C and 5% CO2 for 6 hours.",,,,,
