task_id,gene,paper_id,stratum,ledger_verdict,model_answer,downgraded,duplicate_title_in_gene
T088,Iigp1,PMC6016484,B_not_found_no,no,no,,
T089,Serpinb2,PMC6277787,E_random_no,no,no,,
T090,Cxcl1,PMC9225349,A2_boundary_yes,yes,yes,,
T091,Ccl4,PMC7883330,A2_boundary_yes,yes,yes,,
T092,Rnd1,PMC9161769,A1_limited_yes,yes,yes,,
T093,Col27a1,PMC13199726,B_not_found_no,no,no,,
T094,Col27a1,PMC13199726,B_not_found_no,no,no,,
T095,Trim30c,PMC3995923,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T096,Trim30c,PMC3995923,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T097,Serpina3g,PMC6667695,A2_boundary_yes,yes,yes,,
T098,Acod1,bio_3de035726f50,D_high_count_yes,yes,yes,,
T099,Cd69,PMC2196347,A2_boundary_yes,yes,yes,,
T100,Iigp1,PMC4951018,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T101,Ifi205,PMC12518975,E_random_no,no,no,,
T102,Shisa3,PMC6667695,A1_limited_yes,yes,yes,,
T103,Hdc,PMC11221109,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T104,Edn1,PMC7779813,A2_boundary_yes,yes,yes,,
T105,Ccl17,PMC2193819,A2_boundary_yes,yes,yes,,
T106,Ccl17,PMC2193819,A2_boundary_yes,yes,yes,,
T107,Ptges,PMC7806836,D_high_count_yes,yes,yes,,
T108,Slamf1,PMC5881497,A2_boundary_yes,yes,yes,,
T109,Cxcl9,PMC12068771,D_high_count_yes,yes,yes,,
T110,Cxcl3,PMC12557704,A2_boundary_yes,yes,yes,,
T111,Ccl12,PMC4378362,E_random_no,no,no,,
T112,Rsad2,PMC6070531,A1_limited_yes,yes,yes,,
T113,Rsad2,PMC6070531,A1_limited_yes,yes,yes,,
T114,Slamf1,PMC4718992,A2_boundary_yes,yes,yes,,
T115,Ccl4,PMC12904459,A2_boundary_yes,yes,yes,,
T116,Ccl4,PMC12904459,A2_boundary_yes,yes,yes,,
T117,Edn1,PMC3826139,A2_boundary_yes,yes,yes,,
T118,Socs3,PMC7837818,D_high_count_yes,yes,yes,,
T119,Tnfsf15,PMC6130856,A1_limited_yes,yes,yes,,
T120,Tnfsf15,PMC6130856,A1_limited_yes,yes,yes,,
T121,Itgb8,PMC6219736,B_not_found_no,no,no,,
T122,Mmp13,PMC6873576,D_high_count_yes,yes,yes,,
T123,Trim30c,PMC7607666,B_not_found_no,no,no,,
T124,Trim30c,PMC7607666,B_not_found_no,no,no,,
T125,Inhba,PMC3953056,E_random_no,no,no,,
T126,Itgb8,PMC4378362,B_not_found_no,no,no,,
T127,Ptx3,PMC5656716,D_high_count_yes,yes,yes,,
T128,Tnfsf4,PMC11135766,B_not_found_no,no,no,,
T129,Tmem200b,PMC7275413,B_not_found_no,no,no,,
T130,Tmem200b,PMC7275413,B_not_found_no,no,no,,
