rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
16,PMC13061598,IL-27-Ucp2-FoxO3 axis mediating the polarization of alternatively activated macrophages and ameliorating inflammatory pain,success,yes,yes,"The cultured primary microglia secret loads of IL-27 in response to LPS (100 ng/mL) insult for 12 hours, while cultured primary astrocytes released minimal IL-27 in the same condition (n = 3).","The cultured primary microglia secret loads of IL-27 in response to LPS (100 ng/mL) insult for 12 hours, while cultured primary astrocytes released minimal IL-27 in the same condition (n = 3).",IL-27,LPS,
17,PMC2118415,Regulation of IL-27 p28 gene expression in macrophages through MyD88- and interferon-γ–mediated pathways,success,yes,yes,L16: The data showed that whereas IFN-Γ alone stimulated p28 protein secretion kinetically (Fig. 1 A) LPS induced ∶10-fold greater levels of p28 in a kinetics faster than that of IFN-Γ stimulation (Fig. 1 B).,L17: Figure 1.: Expression of p28 protein and mRNA in macrophages. The production of IL-27 p28 was measured by ELISA from cell-free supernatants of mouse peritoneal macrophage cultures (0.5  106 cells in 1 ml) stimulated with IFN-Γ (A) and LPS (B) or primed with IFN-Γ for 16 h followed by LPS stimulation (B) for the indicated times in hours.,IL-27,LPS,
18,PMC13025208,Integrated Functional and scRNA-Seq Analyses Reveal Convergence of M-CSF– and GM-CSF–Derived Macrophages Following IL-27 Polarization,success,no,no,,,,,
19,PMC11931227,Interleukin-27-polarized HIV-resistant M2 macrophages are a novel subtype of macrophages that express distinct antiviral gene profiles in individual cells: implication for the antiviral effect via different mechanisms in the individual cell-dependent manner,success,no,no,,,,,
20,PMC12481768,Interleukin-27-adipose-derived mesenchymal stromal cell-based gene therapy attenuates inflammation in lipopolysaccharide-induced acute respiratory distress syndrome,success,yes,yes,"At 72 h, a 4-fold upregulation of IL27p28 expression was observed in the LPS group (Fig. 4E).","Male C57BL/6 mice were subjected to a direct, invasive intratracheal injection of PBS or LPS (5 mg/kg) and sacrificed at 24 h and 72 h post-injection.",IL27p28,LPS,
21,PMC10157156,IL-27 induces an IFN-like signature in murine macrophages which in turn modulate colonic epithelium,success,no,no,,,,,
22,PMC4567321,Anti-Inflammatory Effects of IL-27 in Zymosan-Induced Peritonitis: Inhibition of Neutrophil Recruitment Partially Explained by Impaired Mobilization from Bone Marrow and Reduced Chemokine Levels,success,no,no,,,,,
23,PMC8803639,Interleukin-27 in Tuberculosis: A Sheep in Wolf’s Clothing?,success,yes,yes,"In murine IFN̶Γ/LPS-stimulated or Mtb-infected peritoneal MΘ, the presence of IL-27R̕͡͵Α-mediated signalling suppresses the release of IL-12/23p40 and TNF, possibly through the concurrently observed induction of STAT3 phosphorylation (48, 111) ( Table 1 ).","Notably, upon stimulation of mouse BM-derived MΘ with LPS, IL-27 also triggers the production of the anti-inflammatory cytokine IL-10 via the activation of STAT1 and STAT3 (113).",IL-27,LPS;infected,
24,PMC10102607,Editorial: IL-27 in health and disease,success,no,no,,,,,
25,PMC10052773,IL-27 Inhibits Anti-Mycobacterium tuberculosis Innate Immune Activity of Primary Human Macrophages,success,yes,yes,We found human macrophages also produce IL-27 upon infection with M. tuberculosis (Figure 1E and Supplementary Figure 2).,"Cells were infected with M. tuberculosis at an MOI of 1:5 for 3 hours, washed with PBS to remove extracellular bacteria. The quantity of cytokines was measured at indicated time points in the culture supernatants.",IL-27,infection;tuberculosis;infected;bacteria,
