rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
11,PMC4143660,Up-Regulation of MUC2 Mucin Expression by Serum Amyloid A3 Protein in Mouse Colonic Epithelial Cells,success,yes,yes,SAA3 mRNA expression was strongly induced by LPS even more so than by dead E. coli (L46).,"CMT-93 cells were also incubated with 0.1–100 µg/ml LPS from E. coli O111:B4 (L2630, Sigma Aldrich, St. Louis, MO, U.S.A.), rSAA1 (34 µg/ml) and rSAA3 (100 µg/ml) at 37°C for 2 hr (L21).",Saa3;SAA3,LPS;E. coli,
12,PMC5794179,Serum amyloid A3 is required for normal weight and immunometabolic function in mice,success,no,no,,,,,
13,PMC2189298,Expression of the third member of the serum amyloid A gene family in mouse adipocytes,success,no,yes,Liver sections from treated mice (Fig. 1 a) show many silver grains overlying all hepatocytes with some variation in signal intensity. Only occasional silver grains are observed over liver sections from untreated mice (Fig. 1 b).,Results of hybridization of liver sections with [3H]SAA3 cRNA are shown in Fig. 1.,Saa3;SAA3,,yes->no: evidence does not name LPS or infection
14,PMC7605543,"Serum amyloid A–containing HDL binds adipocyte-derived versican and macrophage-derived biglycan, reducing its antiinflammatory properties",success,no,no,,,,,
15,PMC6524798,"Expression of SAA1, SAA2 and SAA4 genes in human primary monocytes and monocyte-derived macrophages",success,no,no,,,,,
16,PMC5405626,Structure and Expression of Different Serum Amyloid A (SAA) Variants and their Concentration-Dependent Functions During Host Insults,success,no,no,,,,,
17,PMC12221637,"Serum amyloid a production in chicken embryonic synovial fibroblasts induced by lipopolysaccharide, interleukin-1β, and vitamin A",success,no,yes,"A statistically significant increase was observed in SAA mRNA expression in all groups at the 24th and 48th h, except the group induced with vitamin A for 48 h, while no increase was detected in the SAA level by ELISA. (L7)","Respectively, 13 and 16 subgroups were created in 24 and 48-hour groups. LPS (Sigma Aldrich, L4516, Escherichia coli O127:B8, USA), IL-1̢ (Lifespan Biosciences, LS-G37646, USA) and vitamin A (Sigma Aldrich, R0635, USA) were administered to these groups separately and in combination. (L28)",,LPS;Escherichia,yes->no: evidence does not name the gene
18,PMC2188489,Amyloid A gene family expression in different mouse tissues,success,yes,yes,"The SAA3 mRNA was expressed at a high level compared with casein injection, but accumulated at a slower rate than that of LPS-induced SAA1 and SAA2, reading 25% of the maximum level at 4 h, 50% by 9 h, and the maximum equal to SAA2 by 16 h; disappearance is slightly faster than that of SAA1 and SAA2 mRNA so that by 48 h the level is reduced to 3%.",Mice received a single injection of LPS or casein and total RNA was isolated at the indicated times from individual livers after LPS injection or from pairs of livers after casein injection.,Saa3;SAA3,LPS,
19,PMC4177399,Deletion of Serum Amyloid A3 Improves High Fat High Sucrose Diet-Induced Adipose Tissue Inflammation and Hyperlipidemia in Female Mice,success,no,no,,,,,
20,PMC10161249,Serum amyloid A proteins reduce bone mass during mycobacterial infections,success,yes,yes,Quantitative real-time PCR analysis confirmed that the expression of Saa3 is upregulated in the bone during M. avium infection (Figure 4B).,Quantitative real-time PCR analysis confirmed that the expression of Saa3 is upregulated in the bone during M. avium infection (Figure 4B).,Saa3;SAA3,infection,
21,PMC2992040,Intestinal Epithelial Serum Amyloid A Modulates Bacterial Growth In Vitro and Pro-Inflammatory Responses in Mouse Experimental Colitis,success,yes,yes,"Whereas SAA1/2 message remained rather constant, SAA3 expression markedly increased with increased LPS exposure.","In (B), CMT93 cells were incubated with the indicated amounts of LPS for 16 h, and SAA1/2 and SAA3 expression were determined with realtime PCR.",Saa3;SAA3,LPS,
22,PMC12019684,Podoplanin-positive cell-derived small extracellular vesicles contribute to cardiac amyloidosis after myocardial infarction,success,no,no,,,,,
23,PMC5610307,Expression and Differential Responsiveness of Central Nervous System Glial Cell Populations to the Acute Phase Protein Serum Amyloid A,success,no,no,,,,,
24,PMC2190436,Murine model for human secondary amyloidosis: genetic variability of the acute-phase serum protein SAA response to endotoxins and casein,success,no,yes,"In 12 strains of mice, including T-cell-deficient nude mice, treated with the amyloid-inducing agents lipopolysaccharide (LPS) or casein, SAA behaved as an acute-phase reactant.","In this study we utilize a solid-phase radioimmunoassay for AA protein (6) to characterize the acute-phase nature of murine SAA in response to bacterial lipopolysaccharide (LPS) and casein, which are known to induce amyloidosis in mice when given by repeated daily injections.",,lipopolysaccharide;LPS;bacterial,yes->no: evidence does not name the gene
25,PMC4736117,Suppression of LPS-induced tau hyperphosphorylation by serum amyloid A,success,no,yes,All three inducible mouse Saa transcripts were elevated in the hippocampus and cortex (Fig. 1c).,Three-month-old C57BL/6 mice were given a single dose of LPS at 5 and 15 mg/kg through intraperitoneal injection.,,LPS,yes->no: evidence does not name the gene
