rank,paper_id,title,judge_status,answer,evidence
16,PMC2190998,"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",success,yes,"The tumor necrosis factor (TNF-alpha or TNF) gene is activated by both lipopolysaccharide (LPS) and cycloheximide in RAW 264.7 macrophages, whereas neither stimulus activates the gene in 3T3 fibroblasts."
17,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,"Kupffer cells isolated from rats fed ethanol for 4 weeks accumulated 2-fold higher concentration of TNF-alpha in their media in response to challenge with LPS, with no difference in TNF-alpha accumulation between the pair- and ethanol-fed groups when cells were not treated with LPS (basal) [9,19]."
18,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells."
19,PMC3786936,The Uremic Toxin Indoxyl Sulphate Enhances Macrophage Response to LPS,success,yes,LPS induced a significant induction in TNF-\u03b1 and IL-6 levels in J774A.1 macrophage (P<0.001 vs control; Fig. 6).
20,PMC1079929,Unaltered TNF-α production by macrophages and monocytes in diet-induced obesity in the rat,success,yes,Ex vivo LPS-stimulation of full blood preparations resulted in a dose-dependent increase in the production of TNF-̕a (Fig. 3).
21,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,TNFalpha mRNA was detected in cells by RT-PCR and TNFalpha protein was detected in supernatants by ELISA assays.
22,PMC3433324,Minocycline hydrochloride nanoliposomes inhibit the production of TNF-α in LPS-stimulated macrophages,success,yes,"After stimulation with 10 ΓΕΙg/mL LPS, murine macrophages (ANA-1) were treated with 10, 20, 40, 50 and 70 ΓΕΙg/mL 2% minocycline hydrochloride nanoliposomes, minocycline hydrochloride solution, and periocline for 6, 12, 24, 48 and 60 hours, respectively. A tetrazolium (MTT) assay was used to evaluate macrophages cell proliferation rate and the levels of TNF-Α mRNA were measured by SYBR Green Real Time PCR."
23,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,yes,"In the present study, it is demonstrated that cytoplasmatic RNA extracted from rat macrophages stimulated with Escherichia coli lipopolysaccharide (LPS), referred to as L-RNA, induced the release of TNF-\u03b1 and IL-1 from monolayers of peritoneal resident macrophages."
24,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1)."
25,PMC3827119,Role of Protein Tyrosine Phosphatase Non-Receptor Type 7 in the Regulation of TNF-α Production in RAW 264.7 Macrophages,success,yes,"TNF-α levels increased sharply at early times of LPS treatment, then increased gradually and reached maximal point at 8 h after LPS treatment."
